t,nu_w,l,pi_w,activity_coefficient,activity_gap,labor_demand_coefficient,y,i,intertemporal_residual,lambda_w,kappa_w,wage_residual
36,3.637978807091713e-14,3.749780312818188e-14,-8.256435724780695e-15,0.0,1.0686873891531834e-13,0.0,2.6248462189727312e-14,2.399513448374609e-14,3.1554436208840472e-30,0.0,0.0,-7.888609052210118e-31
37,1.8189894035458565e-14,1.8748901564090958e-14,-4.1282178623902835e-15,0.0,5.343436945765922e-14,0.0,1.312423109486367e-14,1.199756724187314e-14,3.1554436208840472e-30,0.0,0.0,1.1832913578315177e-30
38,9.094947017729283e-15,9.374450782045482e-15,-2.0641089311950735e-15,0.0,2.671718472882962e-14,0.0,6.562115547431837e-15,5.998783620936672e-15,7.888609052210118e-31,0.0,0.0,0.0
39,4.547473508864641e-15,4.6872253910227206e-15,-1.032054465597468e-15,0.0,1.3358592364414752e-14,0.0,3.281057773715904e-15,2.9993918104684395e-15,-3.944304526105059e-31,0.0,0.0,-9.860761315262648e-32
40,2.2737367544323206e-15,2.343612695511317e-15,-5.160272327986669e-16,0.0,6.679296182207253e-15,0.0,1.6405288868579217e-15,1.4996959052343203e-15,0.0,0.0,0.0,-4.930380657631324e-32
41,1.1368683772161603e-15,1.1718063477555894e-15,-2.580136163992706e-16,0.0,3.3396480911034295e-15,0.0,8.202644434289125e-16,7.498479526172544e-16,0.0,0.0,0.0,4.930380657631324e-32
42,5.684341886080802e-16,5.859031738777002e-16,-1.2900680819957948e-16,0.0,1.6698240455514456e-15,0.0,4.1013222171439015e-16,3.7492397630871093e-16,-4.930380657631324e-32,0.0,0.0,-2.465190328815662e-32
43,2.842170943040401e-16,2.9295158693873027e-16,-6.450340409974403e-17,0.0,8.349120227753811e-16,0.0,2.0506611085711116e-16,1.8746198815442405e-16,2.465190328815662e-32,0.0,0.0,6.162975822039155e-33
44,1.4210854715202004e-16,1.4647579346922136e-16,-3.2251702049839275e-17,0.0,4.1745601138728084e-16,0.0,1.0253305542845495e-16,9.373099407726113e-17,0.0,0.0,0.0,-3.0814879110195774e-33
45,7.105427357601002e-17,7.323789673444546e-17,-1.6125851024902723e-17,0.0,2.0872800569316954e-16,0.0,5.126652771411182e-17,4.686549703865593e-17,0.0,0.0,0.0,3.0814879110195774e-33
46,3.552713678800501e-17,3.6618948367039624e-17,-8.062925512452828e-18,0.0,1.0436400284606292e-16,0.0,2.5633263856927736e-17,2.3432748519325766e-17,6.162975822039155e-33,0.0,0.0,-1.5407439555097887e-33
47,1.7763568394002505e-17,1.830947418332347e-17,-4.031462756248465e-18,0.0,5.218200142247188e-17,0.0,1.2816631928326428e-17,1.1716374259629806e-17,0.0,0.0,0.0,-3.851859888774472e-34
