t,nu_w,l,pi_w,activity_coefficient,activity_gap,labor_demand_coefficient,y,i,intertemporal_residual,lambda_w,kappa_w,wage_residual
55,6.938893903907229e-20,-9.323953384312775e-20,-6.452254679121184e-21,0.0,-2.6573267145291403e-19,0.0,-6.526767369018942e-20,5.97105570203905e-20,1.2037062152420224e-35,0.0,0.0,-1.504632769052528e-36
56,3.469446951953614e-20,-4.661976772279432e-20,-3.2261272420596205e-21,0.0,-1.328663380099638e-19,0.0,-3.2633837405956024e-20,2.985527865644671e-20,0.0,0.0,0.0,-1.692711865184094e-36
57,1.734723475976807e-20,-2.3309884648196006e-20,-1.6130634942610089e-21,0.0,-6.64331712473586e-20,0.0,-1.6316919253737203e-20,1.492763951837656e-20,3.009265538105056e-36,0.0,0.0,2.82118644197349e-37
58,8.673617379884036e-21,-1.1654943085466953e-20,-8.065315913076638e-22,0.0,-3.3216587793580815e-20,0.0,-8.158460159826866e-21,7.46381999292254e-21,1.504632769052528e-36,0.0,0.0,4.70197740328915e-38
59,4.336808689942018e-21,-5.8274722674642295e-21,-4.032656113811389e-22,0.0,-1.6608295962273052e-20,0.0,-4.079230587224961e-21,3.7319102728703095e-21,7.52316384526264e-37,0.0,0.0,-7.052966104933725e-38
60,2.168404344971009e-21,-2.9137368105425497e-21,-2.016325939739589e-22,0.0,-8.304149910046266e-21,0.0,-2.0396157673797848e-21,1.8659554540100707e-21,3.76158192263132e-37,0.0,0.0,-5.877471754111438e-38
61,1.0842021724855045e-21,-1.4568690229493125e-21,-1.0081605924079962e-22,0.0,-4.1520767154055404e-21,0.0,-1.0198083160645187e-21,9.32978083624305e-22,-1.88079096131566e-37,0.0,0.0,-1.1754943508222875e-38
62,5.421010862427522e-22,-7.284350590282973e-22,-5.0407767669065184e-23,0.0,-2.076039918230647e-21,0.0,-5.09904541319808e-22,4.664894347391545e-22,0.0,0.0,0.0,8.816207631167156e-39
63,2.710505431213761e-22,-3.6421799632603657e-22,-2.52035999088974e-23,0.0,-1.038021289529204e-21,0.0,-2.549525974282256e-22,2.3324514325803e-22,4.70197740328915e-38,0.0,0.0,-2.938735877055719e-39
64,1.3552527156068806e-22,-1.821093741477272e-22,-1.2601496682687605e-23,0.0,-5.190117163210225e-22,0.0,-1.2747656190340904e-22,1.1662302653665666e-22,2.350988701644575e-38,0.0,0.0,-3.6734198463196485e-39
65,6.776263578034403e-23,-9.105496283599016e-23,-6.300428734188382e-24,0.0,-2.595066440825719e-22,0.0,-6.373847398519311e-23,5.831199267906146e-23,0.0,0.0,0.0,-2.571393892423754e-39
66,3.3881317890172014e-23,-4.552764840902629e-23,-3.1498817973397678e-24,0.0,-1.297537979657249e-22,0.0,-3.18693538863184e-23,2.915649519416236e-23,5.877471754111438e-39,0.0,0.0,0.0
67,1.6940658945086007e-23,-2.276387487635936e-23,-1.5745990749379966e-24,0.0,-6.487704339762417e-23,0.0,-1.593471241345155e-23,1.457876033267901e-23,-2.938735877055719e-39,0.0,0.0,-5.510129769479473e-40
68,8.470329472543004e-24,-1.1381865391200666e-23,-7.869524722852194e-25,0.0,-3.24383163649219e-23,0.0,-7.967305773840466e-24,7.289900764115175e-24,-1.4693679385278594e-39,0.0,0.0,-1.3775324423698682e-40
69,4.235164736271502e-24,-5.690732818917812e-24,-3.9312820846667723e-25,0.0,-1.621858853391576e-23,0.0,-3.983512973242468e-24,3.645472423571486e-24,0.0,0.0,0.0,-2.2958874039497803e-41
70,2.117582368135751e-24,-2.845035011340518e-24,-1.9621961665786016e-25,0.0,-8.108349782320475e-24,0.0,-1.9915245079383624e-24,1.8232529431489608e-24,3.6734198463196485e-40,0.0,0.0,-5.739718509874451e-41
71,1.0587911840678754e-24,-1.422052431790719e-24,-9.777353924326797e-26,0.0,-4.0528494306035486e-24,0.0,-9.954367022535032e-25,9.121308752029734e-25,-1.8367099231598242e-40,0.0,0.0,-2.2958874039497803e-41
72,5.293955920339377e-25,-7.104269533307031e-25,-4.8563520718047804e-26,0.0,-2.0247168169925037e-24,0.0,-4.972988673314921e-25,4.56550310956866e-25,0.0,0.0,0.0,-1.4349296274686127e-41
73,2.6469779601696886e-25,-3.544812415569985e-25,-2.3976399937635127e-26,0.0,-1.0102715384374457e-24,0.0,-2.4813686908989897e-25,2.287331961105162e-25,-4.591774807899561e-41,0.0,0.0,-1.4349296274686127e-42
74,1.3234889800848443e-25,-1.7637842771557448e-25,-1.1705602575406223e-26,0.0,-5.026785189893872e-25,0.0,-1.2346489940090212e-25,1.147904941453751e-25,0.0,0.0,0.0,0.0
75,6.617444900424222e-26,-8.720192516890452e-26,-5.597784292629314e-27,0.0,-2.4852548673137787e-25,0.0,-6.104134761823316e-26,5.777777256529824e-26,1.1479437019748901e-41,0.0,0.0,-3.587324068671532e-43
76,3.308722450212111e-26,-4.249531590360831e-26,-2.576149942851649e-27,0.0,-1.2111165032528366e-25,0.0,-2.974672113252581e-26,2.9222999587843634e-26,0.0,0.0,0.0,-5.3809861030072976e-43
77,1.6543612251060554e-26,-2.0032270626413316e-26,-1.1021115363696048e-27,0.0,-5.709197128527795e-26,0.0,-1.402258943848932e-26,1.4890444946506148e-26,2.8698592549372254e-42,0.0,0.0,-2.6904930515036488e-43
78,8.271806125530277e-27,-8.701484454440841e-27,-4.061163856566922e-28,0.0,-2.4799230695156394e-26,0.0,-6.0910391181085884e-27,7.662631547045239e-27,1.4349296274686127e-42,0.0,0.0,0.0
79,4.1359030627651385e-27,-2.9491194620884536e-27,-1.0306119263048401e-28,0.0,-8.404990466952092e-27,0.0,-2.0643836234619176e-27,3.981311273819412e-27,0.0,0.0,0.0,0.0
